id,observed_on,time_observed_at,user_id,description,place_guess,latitude,longitude,survey_observation,call_type,direction_to_call,repeat_observation
195648818,01/03/2024,22:46:17,2710311,,"Wadestown, Wellington 6012, New Zealand",-41.2625483333,174.7739833333,yes,Morepork,Not recorded,yes
195827672,01/05/2024,23:46:40,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29556106,174.68931301,no,Morepork,N,maybe
196007854,01/07/2024,22:28:54,3629246,,"Horokiwi, Wellington 5016, New Zealand",-41.1979166667,174.8532383333,no,Not recorded,Not recorded,yes
196107465,01/08/2024,21:42:27,605867,Adult morepork call. Too windy for recording.,"Northland, Wellington 6012, New Zealand",-41.2766487664,174.7571879625,yes,Morepork,N,yes
196903282,01/17/2024,22:18:02,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.29563472,174.68921745,yes,Morepork,Not recorded,no
196978045,01/18/2024,22:12:26,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.2955238668,174.6893897653,yes,Morepork,E,maybe
197298075,01/22/2024,22:28:11,58187,,"Te Ika-a-Māui/North Island, Wellington, Wellington, NZ",-41.1748755303,174.8125066796,yes,Morepork,W,yes
197329059,01/23/2024,01:30:00,5966524,Ruru spotted and heard calling multiple times. There is often an adult ruru at this location most nights. ,"Northland, Wellington 6012, New Zealand",-41.2844565356,174.7543592378,no,Not recorded,Not recorded,yes
197447553,01/24/2024,21:13:38,1226581,,"Carterton 5791, New Zealand",-40.9207033535,175.4803359781,yes,Ro,N,no
198044130,01/31/2024,22:59:41,451919,2 separate birds,"4018841, Mākara, Wellington 6972, New Zealand",-41.29553354,174.68913138,yes,Morepork,Not recorded,no
198634183,02/07/2024,21:51:39,451919,,"4018841, Mākara, Wellington 6972, New Zealand",-41.2955174,174.68948972,yes,Morepork,Not recorded,maybe
